Name	Label	Predict
000000	3	3
000001	9	9
000002	4	8
000003	1	1
000004	6	6
000005	6	3
000006	9	9
000007	2	2
000008	0	0
000009	5	5
000010	5	5
000011	8	8
000012	1	1
000013	3	3
000014	2	2
000015	0	0
000016	3	3
000017	6	6
000018	8	8
000019	9	9
000020	5	5
000021	5	2
000022	4	3
000023	2	2
000024	5	5
000025	1	1
000026	3	7
000027	3	6
000028	1	1
000029	8	8
000030	7	7
000031	3	5
000032	5	5
000033	6	6
000034	2	2
000035	1	1
000036	7	7
000037	7	4
000038	1	1
000039	8	8
000040	0	0
000041	7	7
000042	1	6
000043	5	5
000044	9	9
000045	4	4
000046	1	1
000047	1	1
000048	5	5
000049	3	3
000050	3	3
000051	5	5
000052	6	3
000053	6	6
000054	3	5
000055	2	2
000056	3	3
000057	9	7
000058	1	9
000059	9	9
000060	5	5
000061	2	2
000062	5	5
000063	0	0
000064	2	2
000065	6	6
000066	1	4
000067	9	9
000068	7	7
000069	5	5
000070	7	3
000071	3	5
000072	1	1
000073	0	0
000074	0	0
000075	6	6
000076	0	0
000077	4	4
000078	5	5
000079	4	4
000080	6	6
000081	0	0
000082	6	6
000083	6	6
000084	6	6
000085	1	1
000086	0	0
000087	5	5
000088	8	8
000089	9	9
000090	9	9
000091	6	6
000092	4	4
000093	7	7
000094	2	2
000095	9	9
000096	5	5
000097	9	9
000098	4	6
000099	4	5
000100	2	2
000101	0	0
000102	8	8
000103	4	3
000104	1	1
000105	7	7
000106	5	3
000107	4	4
000108	1	1
000109	4	4
000110	6	6
000111	9	9
000112	4	4
000113	9	9
000114	9	9
000115	6	6
000116	8	8
000117	9	9
000118	0	0
000119	7	7
000120	2	2
000121	8	8
000122	4	7
000123	6	6
000124	4	4
000125	5	5
000126	5	5
000127	8	8
000128	4	4
000129	6	6
000130	3	3
000131	3	3
000132	2	2
000133	6	6
000134	0	0
000135	9	9
000136	4	2
000137	0	4
000138	0	0
000139	1	1
000140	4	4
000141	9	9
000142	7	7
000143	3	3
000144	0	1
000145	3	3
000146	9	9
000147	5	5
000148	7	7
000149	5	5
000150	9	9
000151	3	3
000152	8	3
000153	1	1
000154	7	4
000155	7	7
000156	0	2
000157	0	0
000158	2	2
000159	5	7
000160	1	1
000161	6	6
000162	7	7
000163	8	8
000164	1	1
000165	1	7
000166	0	0
000167	2	2
000168	6	6
000169	8	8
000170	5	5
000171	3	3
000172	8	8
000173	0	0
000174	2	2
000175	3	4
000176	3	5
000177	1	1
000178	3	2
000179	9	9
000180	0	0
000181	7	3
000182	2	0
000183	2	2
000184	2	2
000185	4	4
000186	1	1
000187	1	1
000188	0	0
000189	5	5
000190	9	9
000191	1	1
000192	4	3
000193	0	0
000194	5	6
000195	1	1
000196	0	2
000197	5	5
000198	9	9
000199	2	4
000200	9	9
000201	7	5
000202	3	3
000203	9	9
000204	0	0
000205	7	7
000206	9	1
000207	7	7
000208	5	5
000209	2	2
000210	0	0
000211	2	5
000212	5	5
000213	3	5
000214	1	1
000215	9	9
000216	9	9
000217	6	6
000218	2	0
000219	5	5
000220	0	0
000221	6	6
000222	3	3
000223	2	2
000224	1	1
000225	2	2
000226	4	4
000227	4	2
000228	2	2
000229	8	8
000230	7	3
000231	7	3
000232	7	7
000233	4	2
000234	8	8
000235	9	5
000236	5	5
000237	1	8
000238	9	9
000239	4	4
000240	1	1
000241	7	7
000242	7	7
000243	4	4
000244	0	0
000245	6	6
000246	4	4
000247	1	1
000248	8	8
000249	7	7
000250	7	7
000251	7	7
000252	2	2
000253	1	1
000254	6	6
000255	4	4
